Samsung galaxy s6,$360,https://www.demoblaze.com/prod.html?idp_=1
Nokia lumia 1520,$820,https://www.demoblaze.com/prod.html?idp_=2
Nexus 6,$650,https://www.demoblaze.com/prod.html?idp_=3
Samsung galaxy s7,$800,https://www.demoblaze.com/prod.html?idp_=4
Iphone 6 32gb,$790,https://www.demoblaze.com/prod.html?idp_=5
Sony xperia z5,$320,https://www.demoblaze.com/prod.html?idp_=6
HTC One M9,$700,https://www.demoblaze.com/prod.html?idp_=7
Sony vaio i5,$790,https://www.demoblaze.com/prod.html?idp_=8
Sony vaio i7,$790,https://www.demoblaze.com/prod.html?idp_=9
Apple monitor 24,$400,https://www.demoblaze.com/prod.html?idp_=10
MacBook air,$700,https://www.demoblaze.com/prod.html?idp_=11
Dell i7 8gb,$700,https://www.demoblaze.com/prod.html?idp_=12
2017 Dell 15.6 Inch,$700,https://www.demoblaze.com/prod.html?idp_=13
ASUS Full HD,$230,https://www.demoblaze.com/prod.html?idp_=14
MacBook Pro,$1100,https://www.demoblaze.com/prod.html?idp_=15
